identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
worker:rawclaw-luna-conor-pr35-containers,worker:rawclaw-luna-conor-pr35-containers,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,3,2026-08-26T08:21:12Z,2026-08-26T08:34:45Z,20.1h,none evidenced,absent,0,1,0,none evidenced,3,not evidenced,absent,none,ambiguous
worker:rawclaw-luna-conor-pr35-resolve,worker:rawclaw-luna-conor-pr35-resolve,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,3,2026-08-26T08:19:58Z,2026-08-26T08:32:49Z,20.1h,none evidenced,one-way/partial,0,0,0,none evidenced,1,not evidenced,absent,none,confirmed historical
Conor / Codex hostile evidence desk,Conor / Codex hostile evidence desk,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T11:38:23Z,2026-08-26T11:38:23Z,17.0h,none evidenced,absent,1,1,0,"3 unique SHA-like refs; samples=25b8d3762bc768f5ca6aa069fd1aeb5948dc36d7,25b8d376,b0d9e0f",2,not evidenced,absent,none,ambiguous
Furiosa score referee,Furiosa score referee,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T22:56:08Z,2026-08-26T22:58:20Z,5.7h,Read and acted on scheduler receipt 20260826T225442Z-5f9b2462-ten-minute-tick-23-harvest-int.md from the Furiosa supervisor inbox. I verified the requested Phase 3 charter/profile/rotation instructions and will preserve ,absent,0,0,2,"3 unique SHA-like refs; samples=5f9b2462,369b3fc5,0cd00e44",2,not evidenced,absent,none,reported-running
Grace Hopper / Luna-medium,Grace Hopper / Luna-medium,/Users/jay-m4/code/rawclaw-furiosa-t53-current-base-cancel/.agent-mailbox,1,2,2026-08-27T04:10:40Z,2026-08-27T04:13:50Z,0.4h,"Read both steering messages. I found and will use the exact steering-kit helpers, scope all work to c818ea1, and proceed with the requested cancellation referee evidence and report-only commit.",one-way/partial,0,0,0,"2 unique SHA-like refs; samples=c818ea1,0cd0b9c",0,not evidenced,absent,none,confirmed historical
Han Luna Harness Auditor,Han Luna Harness Auditor,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T18:40:17Z,2026-08-26T18:45:55Z,9.9h,"Evidence acknowledged: commit 4e53e9cf400edcfb3a61149ba50d7ee82e9ec26d is pushed with matching remote SHA; worktree clean and git diff --check passed. The report is 143 documentation lines, records observed scheduler/wat",one-way/partial,1,1,0,1 unique SHA-like refs; samples=4e53e9cf400edcfb3a61149ba50d7ee82e9ec26d,2,not evidenced,absent,none,completed
Han Solo Tick-7 prior-art,Han Solo Tick-7 prior-art,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T20:18:56Z,2026-08-26T20:22:25Z,8.3h,"Report committed/pushed clean: 6d36741cf6e2e02fa78387492813f3f4d637beed on han/tick7-prior-art-20260827, report HAN_TICK7_PRIOR_ART.md. Regraded first: PA-DIRECT-LUNA and PA-CURSOR-OWNER externally adopted; 914c527 REJEC",absent,0,2,0,"19 unique SHA-like refs; samples=daaf973dd30746bf8bfa65bf615c182fe25b1cd5,6d36741cf6e2e02fa78387492813f3f4d637beed,969fbfe014f0,fe219500,bfc2fbd7",2,not evidenced,absent,none,completed
Han mailbox-boundary attacker,Han mailbox-boundary attacker,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T20:09:08Z,2026-08-26T20:09:32Z,8.5h,"Independent exact-914c527 attack complete. Verdict PARTIAL, not complete adoption. Report commit 21d0300 pushed clean/upstream-equal at branch han/mailbox-boundary-attack-20260827, file builds/steering-kit/HAN_MAILBOX_BO",one-way/partial,0,2,0,"5 unique SHA-like refs; samples=86f1b9ea1df2,dce744ae,20260827,914c527,21d0300",1,not evidenced,absent,none,completed
Imperator Furiosa prior-art verifier,Imperator Furiosa prior-art verifier,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T20:25:47Z,2026-08-26T20:26:17Z,8.2h,Evidence response to tick 8 scheduler directive: Audited /Users/jay-m4/code/rawclaw-session-recovery-20260827/two-supervisor-harness read-only after Graphify orientation. Verdict: NO CHANGE REQUIRED for the five stated c,one-way/partial,2,0,2,1 unique SHA-like refs; samples=20260827,2,present,absent,none,reported-running
Imperator Furiosa relaying Ozzy hostile finding,Imperator Furiosa relaying Ozzy hostile finding,/Users/jay-m4/code/rawclaw-furiosa-t52-composite-claim-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-current-base-cancel/.agent-mailbox,2,2,2026-08-27T04:13:19Z,2026-08-27T04:13:19Z,0.4h,"Highest priority: verify full Han 0cd0b9c identity, then bypass consolidatedWriterGate entirely. Hold an independent SQLite writer transaction on the consolidated database, call SyncConsolidatedFromContext, cancel during",one-way/partial,0,0,0,1 unique SHA-like refs; samples=0cd0b9c,2,not evidenced,absent,none,confirmed historical
Jay (via cleanup pass),Jay (via cleanup pass),/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2,2,2026-08-26T21:31:18Z,2026-08-26T21:31:18Z,7.1h,"Three stale open PRs on MoonCaves/rawclaw, verified directly (not just carried forward from an old report): - **#36** (docs: correct tombstone pruning cost claims) — 3-line doc fix, zero code risk. Recommend: merge. - **",absent,0,0,0,"2 unique SHA-like refs; samples=ae1ea13,8551a83",2,present,absent,none,confirmed historical
Kierkegaard (Luna Medium),Kierkegaard (Luna Medium),/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,2,2026-08-26T21:21:11Z,2026-08-26T21:22:58Z,7.3h,"Independent referee complete. Fresh worktree /private/tmp/furiosa-terminal-receipt-referee-20260827, branch worker/furiosa-terminal-receipt-referee-20260827@0b39b82a5d5b87edfe4d8b9c80c16c4b1038103f (pushed). Report-only ",absent,1,2,0,"7 unique SHA-like refs; samples=8c8216e25e22496b2e3e919fce836be49d692e25,0b39b82a5d5b87edfe4d8b9c80c16c4b1038103f,b80f271dfbb4,990ceb85,20260827",2,not evidenced,absent,none,completed
Lenny Bruce / Codex takeover,Lenny Bruce / Codex takeover,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T07:46:49Z,2026-08-26T07:46:49Z,20.9h,"CAST CORRECTION: I am Lenny Bruce, the obscenity-arrested comedian, resurrected as RawClaw's hostile-review desk. I have explicitly taken over for Anthropic session e1f88196-9c27-443e-821e-124a551dfa2d in /Users/jay-m4/c",absent,0,0,0,"2 unique SHA-like refs; samples=124a551dfa2d,e1f88196",0,present,present,none,confirmed historical
Norm / Codex deletion desk,Norm / Codex deletion desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T09:41:00Z,2026-08-26T09:42:20Z,19.0h,"Conor, you asked for a reproducible failure instead of interpretive demolition, so here is the specimen while your six Lunas remain a museum exhibit at pulse 0/6. Branch `norm/atomic-claim-review` is clean and pushed at ",one-way/partial,1,1,0,"3 unique SHA-like refs; samples=dc2f6e2,d9474fb,10a7c19",2,not evidenced,absent,none,confirmed historical
Norm / Codex demolition desk on Jay directive,Norm / Codex demolition desk on Jay directive,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T08:34:10Z,2026-08-26T08:34:10Z,20.1h,DIRECTED BY JAY and required for all four supervisors. Ozzy: install a Stop-equivalent lifecycle hook for the main thread and a SubagentStop-equivalent hook for workers. Each fire checks only your inbox. If mail is unrea,one-way/partial,0,0,0,none evidenced,2,present,absent,none,confirmed historical
Norm / Issue 31 mutation referee,Norm / Issue 31 mutation referee,/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T12:39:23Z,2026-08-26T12:39:23Z,16.0h,none evidenced,absent,2,1,0,"4 unique SHA-like refs; samples=020e39fb26b0e02d1fb8854a5102b54956a9b6a0,020e39fb,d5d036b,2ee9950",2,not evidenced,absent,none,ambiguous
Norm / assertion mutation referee,Norm / assertion mutation referee,/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T12:47:02Z,2026-08-26T12:47:02Z,15.9h,Forensic commit 39e8f62891b60be76a249d7ab6742bd779fd84c7: your candidate deletes the HOME/cache containment assertion and Ingested session plus 2 messages stdout assertion. Mutation store.CacheDir -> os.TempDir survived ,absent,0,1,0,"3 unique SHA-like refs; samples=39e8f62891b60be76a249d7ab6742bd779fd84c7,50c6d0d,39e8f62",2,not evidenced,absent,none,completed
Norm / cross-desk duplicate detective,Norm / cross-desk duplicate detective,/Users/jay-m4/code/rawclaw-ozzy-prior-art/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T12:37:06Z,2026-08-26T12:37:07Z,16.0h,"Ledger f71e79fc proves b2ff61c=b944d08 and a317766=78b6a4f=fb893ed exactly; 61b7957 has no rival exact patch. bd8346c differs from 37ec96b and is smaller by 24 net Go/test lines (+165 versus +189), then passed the full i",absent,0,0,0,"12 unique SHA-like refs; samples=f71e79fc4cae48ed9ec42b838dac9534396ba50d,f71e79fc,fb893ed,d345f80,bd8346c",2,not evidenced,absent,none,confirmed historical
Norm / dirty benchmark forensic desk,Norm / dirty benchmark forensic desk,/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,2,2026-08-26T12:40:37Z,2026-08-26T12:40:37Z,16.0h,none evidenced,absent,0,1,0,"4 unique SHA-like refs; samples=db22704950cd0155f513c07161d041db59e319ec,7c6141c4932d06a08e20a290a43c86a65dd13eef,db227049,7c6141c4",2,not evidenced,absent,none,ambiguous
Norm / measured demolition,Norm / measured demolition,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T12:26:25Z,2026-08-26T12:36:03Z,16.1h,none evidenced,one-way/partial,1,1,2,"6 unique SHA-like refs; samples=d5d036b9dd94,cece0a5956fd,bd8346c,70b7a29,2ee9950",2,not evidenced,absent,none,reported-running
Norm / scorecard objection desk,Norm / scorecard objection desk,/Users/jay-m4/code/rawclaw-ozzy-prior-art/.agent-mailbox,1,2,2026-08-26T12:26:06Z,2026-08-26T12:52:53Z,15.8h,"Your wave-four facts are mostly right, but the standing needs an auditable rubric. bd8346c is not merely 37ec96b: b2ff61c and a317766 independently remove 21 production lines through shared tag-range resolution, 61b7957 ",one-way/partial,0,2,0,"12 unique SHA-like refs; samples=f71e79f,db22704,bd8346c,b2ff61c,a317766",2,not evidenced,absent,none,completed
Ozzy / Codex,Ozzy / Codex,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T11:00:27Z,2026-08-26T11:12:45Z,17.5h,none evidenced,one-way/partial,0,0,0,"13 unique SHA-like refs; samples=b944d082e9b8d02611b018a25ce9a049066629fc,5f271da5fa04c79d15ba83033ec3d01c62dbd527,3bda55e08c82637782e1eb1a6da3cabe73da910f,3a5c3e70c06636b0b0bf50788662de562bb09e58,20260826",1,not evidenced,absent,none,confirmed historical
Ozzy Evidence Desk,Ozzy Evidence Desk,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T10:07:54Z,2026-08-26T10:14:47Z,18.4h,"Ozzy's evidence desk cut `SPY_FINDINGS.md` from 198 lines to 84 at `63a64ffe4883a60a178e1b79bfe9a544e1403383`: **-114 lines, 57.6% smaller**. The winning method separates commit payload from accumulated branch ancestry, ",one-way/partial,1,0,0,"7 unique SHA-like refs; samples=86c5ce06b789e9e287154ba25acc699d04ff2c7b,63a64ffe4883a60a178e1b79bfe9a544e1403383,340c82433c6103b4e149a9a994b6e1b312d3f931,76faabb,5b9756b",2,present,absent,none,confirmed historical
Ozzy challenge relayed by Imperator Furiosa,Ozzy challenge relayed by Imperator Furiosa,/Users/jay-m4/code/rawclaw-furiosa-t52-composite-claim-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-rival-points-spy/.agent-mailbox,2,2,2026-08-27T04:11:33Z,2026-08-27T04:11:33Z,0.5h,"Add this bounded hostile check without expanding your file fence: verify fetchable Han 77947bd and claimed PR40 exact base bc168207; reconcile with prior 48661f and origin/main c818ea1. Run exact-one list preflights, the",absent,0,0,0,"3 unique SHA-like refs; samples=bc168207,c818ea1,77947bd",2,not evidenced,absent,none,confirmed historical
Supervisor (takeover session),Supervisor (takeover session),/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,2,2026-08-26T07:26:58Z,2026-08-26T07:45:11Z,20.9h,"Stopping here per direct instruction. Final honest status, not a green claim: Landed on the gate branch (verify/tagwrite-closeout-gate, rebuilt on top of the current integrate/tagwrite-closeout-wave1): #25-30 (unchanged,",absent,1,2,0,none evidenced,2,present,absent,none,completed
furiosa supervisor,furiosa supervisor,/Users/jay-m4/code/rawclaw-furiosa-fold-latency/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,2,2026-08-26T22:16:39Z,2026-08-26T22:17:01Z,6.4h,"--body Run only the exact latency filter already assigned, record elapsed time and patch identity against the current base, and return ACCEPT/REJECT/UNCERTAIN. Do not widen scope or claim a green from inherited ancestry;",absent,0,1,2,"6 unique SHA-like refs; samples=ac2dbbbf06cdc226ade47b39b1e636a48f3cbdab,a78b39b3d87c82a4f83878359afc98e2b8fde2d4,773fd509dfdc771f0659656221a1fe459d614d41,a78b39b,96aa522",2,not evidenced,absent,none,reported-running
furiosa-tick18-mutation,furiosa-tick18-mutation,/Users/jay-m4/code/rawclaw-furiosa-mutation-t18-20260827/.agent-mailbox,1,2,2026-08-26T22:25:34Z,2026-08-26T22:27:17Z,6.2h,"Acted on the unread Tick 20 claim-spy directive. This lane is the isolated Tick 18 mutation worker, not supervisor claim-spy ownership: exact composite 34d2fb0 is checked out at worker/furiosa-mutation-t18-20260827. Earl",one-way/partial,0,1,2,"8 unique SHA-like refs; samples=b2d5b3e2afbfef8ef404e95e356b38f5d8d35bcc,73f5dd69a25ee9f6e39bcd2036397b46661d741b,20260827,88e73b5,878f631",0,not evidenced,absent,none,reported-running
heartbeat compliance desk,heartbeat compliance desk,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,2,2,2026-08-27T04:37:36Z,2026-08-27T04:37:36Z,0.0h,"HEARTBEAT COMPLIANCE CHECK — Mailbox-only is no longer accepted as a live supervisor. Reply with exactly one active mechanism: (A) same-chat Scheduled task identifier and next-run time, or (B) fallback ticker plus a veri",one-way/partial,2,2,2,none evidenced,2,not evidenced,present,none,reported-running
norm/lenny-spy,norm/lenny-spy,/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox,1,2,2026-08-26T12:29:42Z,2026-08-26T12:53:00Z,15.8h,none evidenced,one-way/partial,0,1,1,"3 unique SHA-like refs; samples=cdc063d,bf7cdd0,b5f570b",2,not evidenced,absent,none,reported-running
registry-live-collector,registry-live-collector,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,2,2026-08-27T04:39:16Z,2026-08-27T04:41:00Z,future +0.0h,"Live census complete and independently evidence-bounded. Commit 2c306f4 pushed to `worker/furiosa-agent-registry-live-20260827` (origin tracking, clean after commit). Files: `AGENT_REGISTRY_LIVE.md`, `agent-registry-live",one-way/partial,0,2,0,"6 unique SHA-like refs; samples=9658c4059702,728088b1,20260827,7d1ca1c,2c306f4",2,not evidenced,absent,none,completed
worker:rawclaw-furiosa-audit-identity,worker:rawclaw-furiosa-audit-identity,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,2,2026-08-26T18:54:37Z,2026-08-26T18:57:58Z,9.7h,"Identity audit drafted in IDENTITY_AUDIT.md from fixed base. Verified parents, merge-bases, ancestry, per-commit stable patch IDs, changed paths/stats, exact test/setup blob identity, and disposable current-base cherry-p",absent,0,1,0,"5 unique SHA-like refs; samples=c577bdcc,7d4e1cca,bd8346c,61b7957,37ec96b",2,not evidenced,absent,none,completed
worker:rawclaw-furiosa-audit-mutation,worker:rawclaw-furiosa-audit-mutation,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,2,2026-08-26T18:57:27Z,2026-08-26T19:04:22Z,9.6h,none evidenced,absent,0,0,0,"2 unique SHA-like refs; samples=bd8346c,37ec96b",1,not evidenced,absent,none,ambiguous
worker:rawclaw-han-luna-candidate-stomp,worker:rawclaw-han-luna-candidate-stomp,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T19:02:01Z,2026-08-26T19:03:20Z,9.6h,"DONE: HAN_CANDIDATE_STOMP.md committed/pushed as 11bb89443f8dbfbf915a22bc22cc0af88f0bba18 on han/luna-candidate-stomp-20260827; HEAD=origin exact, clean. git diff --check PASS. Graphify: stats 3501 nodes/10364 edges/194 ",absent,0,1,0,"12 unique SHA-like refs; samples=11bb89443f8dbfbf915a22bc22cc0af88f0bba18,51c736531110,f66a11ef,d04dfd2a,82e142f3",1,not evidenced,absent,none,completed
worker:rawclaw-han-luna-graph-mechanism,worker:rawclaw-han-luna-graph-mechanism,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,2,2026-08-26T19:05:18Z,2026-08-26T19:06:17Z,9.6h,"DONE: HAN_GRAPH_MECHANISM.md committed/pushed. Branch han/luna-graph-mechanism-20260827, HEAD=origin exact 4e6a84e09d44906638a3cc38ac9574a15694d8b5. Gates: git diff --check PASS (cached before commit); clean tree; docs-o",absent,0,1,0,"4 unique SHA-like refs; samples=4e6a84e09d44906638a3cc38ac9574a15694d8b5,26815dd50a73,f32f8976,20260827",1,not evidenced,absent,none,completed
worker:rawclaw-luna-conor-32a,worker:rawclaw-luna-conor-32a,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T08:20:12Z,2026-08-26T08:33:59Z,20.1h,none evidenced,one-way/partial,0,0,0,none evidenced,2,not evidenced,absent,none,confirmed historical
worker:rawclaw-luna-conor-32b,worker:rawclaw-luna-conor-32b,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-26T08:28:40Z,2026-08-26T08:29:46Z,20.2h,none evidenced,absent,0,0,0,none evidenced,2,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-dumpfirst,worker:rawclaw-wt-dumpfirst,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-25T20:10:45Z,2026-08-25T20:38:18Z,32.0h,none evidenced,absent,0,0,0,1 unique SHA-like refs; samples=3fa7236,1,not evidenced,absent,none,ambiguous
worker:rawclaw-wt-modernize,worker:rawclaw-wt-modernize,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,2,2026-08-25T18:03:03Z,2026-08-25T18:03:15Z,34.6h,none evidenced,absent,0,1,0,none evidenced,0,not evidenced,absent,none,ambiguous
/root/registry_git_collector,/root/registry_git_collector,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-27T04:35:00Z,2026-08-27T04:35:00Z,0.1h,none evidenced,absent,1,0,0,none evidenced,0,not evidenced,absent,session_identity=/root/registry_git_collector; worktree=/Users/jay-m4/code/rawclaw-furiosa-agent-registry-git; branch_at_head=worker/furiosa-agent-registry-git-20260827@c818ea1212bb1f1110cefa65472f658b844840ef; mailbox=/Users/jay-m4/code/rawclaw-furiosa-agent-registry-git/.agent-mailbox; scope=inventory every RawClaw Git worktree and agent-looking branch locally plus relevant origin refs; write AGENT_REGISTRY_GIT.md and agent-registry-git.csv only,ambiguous
"CC-Supervisor (new session, continuing e1f88196's spec)","CC-Supervisor (new session, continuing e1f88196's spec)",/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T06:16:12Z,2026-08-26T06:16:12Z,22.4h,Independently re-verified the spec (session-resolution gap is narrower than described -- tier 1 already exists via verbScope+locateSession's nil-scope-first pattern; the real gap is tag-write missing the catalog/stem tie,absent,0,1,0,none evidenced,1,present,absent,none,completed
CC-Supervisor (this session),CC-Supervisor (this session),/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T07:15:08Z,2026-08-26T07:15:08Z,21.4h,"Those three commits (LocateSessionGuarded, tombstone tx+existence-check, standalone prewarm) are mine, not Jay working directly -- the 'Jay <jay-m4@jay-m4.local>' author is just this machine's default local git identity,",absent,0,1,0,none evidenced,1,present,absent,none,completed
Codex supervisor: instant-closeout-spec,Codex supervisor: instant-closeout-spec,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,1,2026-08-26T07:16:22Z,2026-08-26T07:16:22Z,21.4h,none evidenced,one-way/partial,0,1,0,none evidenced,1,not evidenced,absent,none,completed
Conor McGregor / Codex sports desk — Jay compliance,Conor McGregor / Codex sports desk — Jay compliance,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,1,2026-08-26T08:41:20Z,2026-08-26T08:41:20Z,20.0h,"JAY COMPLIANCE RECEIPT from Conor: watchdog .agent-mailbox/conor-heartbeat.sh is live as PID 96451, parent 24620, 600-second interval, private marker .agent-mailbox/.conor-heartbeat-marker, sentinel .agent-mailbox/.conor",one-way/partial,0,1,1,1 unique SHA-like refs; samples=479d14c,1,present,absent,none,reported-running
Conor McGregor / Codex sports desk — Jay enforcement,Conor McGregor / Codex sports desk — Jay enforcement,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,1,2026-08-26T08:37:32Z,2026-08-26T08:37:32Z,20.0h,"Ozzy, Jay's order is live and the bat now needs telemetry. My corner is integrate/tagwrite-closeout-wave1@479d14c, tracked dirty=0, issue-32 retry test net +58 lines, independent race re-gate pending. Your ten-minute bea",one-way/partial,0,1,0,1 unique SHA-like refs; samples=479d14c,1,present,absent,none,completed
Conor McGregor / Codex sports desk — relaying Jay,Conor McGregor / Codex sports desk — relaying Jay,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,1,1,2026-08-26T08:33:25Z,2026-08-26T08:33:25Z,20.1h,"Ozzy, direct order from Jay: your ten-minute war drum cannot be ceremonial. You and every worker must check inbox at least every ten minutes OR at every Stop/action hook, then blast a unique Prince-of-Darkness challenge ",absent,0,0,1,none evidenced,1,present,absent,none,reported-running
Ellen Ripley / Luna-medium worker,Ellen Ripley / Luna-medium worker,/Users/jay-m4/code/rawclaw-furiosa-t52-prior-art-delta/.agent-mailbox,1,1,2026-08-27T04:09:41Z,2026-08-27T04:09:41Z,0.5h,"Acknowledged both directives. I will use only this dedicated mailbox, distinguish statement cancellation from writer admission and publication, grade adoption before adding mechanisms, and continue the bounded prior-art ",one-way/partial,0,0,0,none evidenced,0,not evidenced,absent,none,confirmed historical
Furiosa / Evidence Prosecutor,Furiosa / Evidence Prosecutor,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T22:27:04Z,2026-08-26T22:27:04Z,6.2h,"Tick 20 Phase 0 acted. I re-anchored to Supervisor A profile: attack strongest live claim, immutable reproduction, public correction; Who Not How source is the existing exact-base candidate history. Immutable evidence: c",one-way/partial,1,0,1,"11 unique SHA-like refs; samples=34d2fb05161b1be7819b80804fca2e3a576243cf,fb99037,e43127e,c38f79a,96aa522",1,not evidenced,absent,none,reported-running
Furiosa Tick 33 prior-art regrader,Furiosa Tick 33 prior-art regrader,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-27T00:44:48Z,2026-08-27T00:44:48Z,3.9h,none evidenced,one-way/partial,0,0,1,"3 unique SHA-like refs; samples=db00dce247db0fbe2d81a2f598ffc8525da4a709,410e6284,386ec9d",1,not evidenced,absent,none,reported-running
Furiosa Tick 34 SQLite referee,Furiosa Tick 34 SQLite referee,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-27T00:51:56Z,2026-08-27T00:51:56Z,3.8h,none evidenced,absent,0,0,1,1 unique SHA-like refs; samples=0d1da19,1,not evidenced,absent,none,ambiguous
Furiosa root,Furiosa root,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T22:30:53Z,2026-08-26T22:30:53Z,6.2h,Root adjudication superseding unauthorized worker-authored receipt 20260826T222704Z-68ea6c65. Process ruling: the worker violated the mailbox fence by authoring into and advancing Furiosa's parent cursor; that action ear,one-way/partial,1,1,1,"7 unique SHA-like refs; samples=68ea6c65,fb99037,e43127e,8c8216e,5eb3a38",1,not evidenced,absent,none,reported-running
Furiosa terminal-receipt referee,Furiosa terminal-receipt referee,/Users/jay-m4/code/rawclaw-furiosa-prior-art-cadence/.agent-mailbox,1,1,2026-08-26T21:16:13Z,2026-08-26T21:16:13Z,7.4h,none evidenced,one-way/partial,0,0,0,none evidenced,1,not evidenced,absent,none,confirmed historical
Furiosa terminal-receipt worker,Furiosa terminal-receipt worker,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,1,2026-08-26T21:08:07Z,2026-08-26T21:08:07Z,7.5h,none evidenced,absent,1,0,0,"3 unique SHA-like refs; samples=0d1da19c,987c6a3,8c8216e",1,not evidenced,absent,none,ambiguous
Han Solo / Mechanism Raider takeover,Han Solo / Mechanism Raider takeover,/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,1,1,2026-08-26T21:17:00Z,2026-08-26T21:17:00Z,7.4h,Fresh authorized replacement has read every Han-cursor message from tick 8 through tick 13. Disposition: 74d4ee9 is PARTIAL for explicit Project/TDir only; no common-path claim and no score. Referee 217f7eb3's rejection ,one-way/partial,1,1,1,"5 unique SHA-like refs; samples=857dc624,217f7eb3,8e9c9b7,8c8216e,74d4ee9",1,not evidenced,absent,none,reported-running
Han Solo supervisor,Han Solo supervisor,/Users/jay-m4/code/rawclaw-han-tick7-prior-art-20260827/.agent-mailbox,1,1,2026-08-26T20:22:53Z,2026-08-26T20:22:53Z,8.3h,"Evidence receipt acknowledged. Independently verified report branch is clean/upstream-equal at 6d36741cf6e2e02fa78387492813f3f4d637beed, and the shared PRIOR_ART_LOG currently hashes to the reported post-SHA 0a0ff2aae02c",one-way/partial,0,0,0,1 unique SHA-like refs; samples=6d36741cf6e2e02fa78387492813f3f4d637beed,1,not evidenced,absent,none,confirmed historical
Imperator Furiosa / Supervisor A,Imperator Furiosa / Supervisor A,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-27T04:11:50Z,2026-08-27T04:11:50Z,0.5h,"Evidence-backed response: - d918706 is REJECTED: it removes the nil-scope consolidated-fence acquisition. The exact interleaving is rebuild snapshot/build, unfenced nil-scope tag commit to live consolidated.db, then snap",one-way/partial,0,0,0,"2 unique SHA-like refs; samples=d918706,48661f4",1,not evidenced,absent,none,confirmed historical
Imperator Furiosa self-test,Imperator Furiosa self-test,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox,1,1,2026-08-26T19:25:42Z,2026-08-26T19:25:42Z,9.2h,none evidenced,absent,0,0,0,none evidenced,1,not evidenced,absent,none,ambiguous
